"","Site","Lat","Long"
"211","21VASWCB-4AFRY006.08",36.948,-79.4474
"212","21VASWCB-7-PAR003.09",37.7319,-75.6308
"213","21VASWCB-9-WFC017.31",37.2547,-81.0283
"214","21VASWCB-2-BRI001.00",37.2806,-78.3639
"215","21VASWCB-8-HER000.33",37.8097,-77.1242
"216","21VASWCB-1ASOC011.82",39.1423,-77.7142
"217","21VASWCB-4ABWA002.00",37.252,-79.3243
"218","21VASWCB-4ATKR000.69",37.2753,-79.9078
"219","21VASWCB-3-SMR004.81",38.467,-77.7215
"220","21VASWCB-4ALAW002.43",36.6664,-79.3525
"221","21VASWCB-4ACTT000.70",36.5918,-78.2415
"222","21VASWCB-1BSSF003.56",38.9133,-78.2098
"223","21VASWCB-1BMSS001.35",38.3753,-79.0175
"224","21VASWCB-9-SNK005.38",37.3011,-80.5581
"225","21VASWCB-4ABWR045.80",37.0344,-79.9097
"226","21VASWCB-2-SUA001.54",37.3344,-78.6672
"227","21VASWCB-4ABWR019.75",37.0561,-79.7594
"228","21VASWCB-1BSSF100.10",38.3123,-78.771
"229","21VASWCB-1BLTT000.07",38.3646,-79.1619
"230","21VASWCB-2-CRL001.83",36.8219,-76.6688
"231","21VASWCB-2-MCM005.12",38.1026,-78.5932
"232","21VASWCB-5BBKW002.50",36.6078,-76.0849
"233","21VASWCB-4ABNR000.40",37.0303,-80.0267
"234","21VASWCB-2-JKS018.68",37.7564,-79.9875
"235","21VASWCB-3-RAP006.53",38.3597,-77.6861
"236","21VASWCB-2-POT030.66",37.6008,-80.2186
"237","21VASWCB-4AALN009.12",36.6661,-78.3181
"238","21VASWCB-2-APP110.93",37.3073,-78.3893
"239","21VASWCB-1BSTH027.85",38.0572,-78.9081
"240","21VASWCB-4AMEE004.90",37.0931,-79.8356
"241","21VASWCB-1BCRO002.75",38.9778,-78.1878
"242","21VASWCB-2-CLL003.21",37.7817,-79.5831
"243","21VASWCB-9-WLS002.57",36.5997,-81.3547
"244","21VASWCB-4AMEE009.86",37.1039,-79.8739
"245","21VASWCB-1BCST012.32",38.1286,-78.9947
"246","21VASWCB-1ABRB015.38",38.9594,-77.5442
"247","21VASWCB-6BCLN250.67",36.8908,-82.3283
"248","21VASWCB-1AHOC006.23",39.2403,-78.2614
"249","21VASWCB-4ANMR002.60",36.5681,-79.9875
"250","21VASWCB-6BPVC000.18",36.7958,-82.9222
"251","21VASWCB-2-WLS038.90",37.44,-78.3608
"252","21VASWCB-8-MAR003.24",37.9131,-77.1858
"253","21VASWCB-2-RRN010.92",38.1633,-78.4246
"254","21VASWCB-4AOWC002.35",37.0395,-79.3965
"255","21VASWCB-4ACRV001.88",37.3306,-79.9505
"256","21VASWCB-1AHOR005.48",38.8464,-77.175
"257","21VASWCB-1BMDD000.40",38.4319,-78.9806
"258","21VASWCB-2-APP118.04",37.3403,-78.4716
"259","21VASWCB-8-CON005.38",38.0647,-77.8803
"260","21VASWCB-6BMID000.20",37.0911,-81.7678
"261","21VASWCB-1AOPE025.10",39.2453,-78.0408
"262","21VASWCB-3-ELM002.23",38.0878,-77.0711
"263","21VASWCB-5ASTO022.61",37.0671,-77.6022
"264","21VASWCB-5ABLS001.58",37.0411,-77.1436
"265","21VASWCB-5ABHC003.73",36.9961,-78.1265
"266","21VASWCB-5ARSK003.08",36.5925,-77.7672
"267","21VASWCB-8-JKC004.15",37.6358,-77.07
"268","21VASWCB-4ABOR016.26",37.2456,-79.3494
"269","21VASWCB-5BNTW009.49",36.5714,-76.1625
"270","21VASWCB-4APWL001.11",36.5394,-78.9897
"271","21VASWCB-6BDUM000.04",36.9353,-82.1964
"272","21VASWCB-9-BST066.80",37.2717,-81.3053
"273","21VASWCB-3-SMR002.60",38.4493,-77.6939
"274","21VASWCB-6BCAL003.19",36.9428,-82.7969
"275","21VASWCB-1ALIV004.78",38.9753,-77.6397
"276","21VASWCB-4APGG055.72",36.9936,-79.8697
"277","21VASWCB-5AXAL000.02",37.0473,-77.0936
"278","21VASWCB-6BBUH000.76",36.8733,-82.7372
"279","21VASWCB-1BSTY001.22",38.8209,-78.5673
"280","21VASWCB-4ASNW000.60",36.9233,-79.6036
"281","21VASWCB-4AATD002.66",36.9285,-78.9133
"282","21VASWCB-1BSTY013.85",38.8703,-78.684
"283","21VASWCB-9-NEW030.15",37.3722,-80.8619
"284","21VASWCB-2-SCK002.24",37.4219,-78.1489
"285","21VASWCB-2-JMS275.75",37.5133,-79.3317
"286","21VASWCB-5AWAQ001.40",36.9189,-77.7361
"287","21VASWCB-1BSHN028.15",39.1017,-77.9653
"288","21VASWCB-9-NEW056.22",37.2897,-80.6167
"289","21VASWCB-5BNTW007.49",36.5506,-76.1522
"290","21VASWCB-5AHQS009.57",36.8903,-77.2897
"291","21VASWCB-4ABLU002.02",36.6036,-78.8256
"292","21VASWCB-6CSFH110.45",36.7717,-81.4667
"293","21VASWCB-6CMFH040.67",36.8261,-81.5364
"294","21VASWCB-8-POR008.97",38.1711,-77.5953
"295","21VASWCB-1ACAX004.57",39.255,-77.5767
"296","21VASWCB-4ALRV007.84",37.1761,-78.8972
"297","21VASWCB-8-MPN094.94",38.0618,-77.386
"298","21VASWCB-4ABMA002.00",36.6403,-78.6486
"299","21VASWCB-4ABHB004.40",36.6492,-78.4413
"300","21VASWCB-2-JMS279.41",37.5553,-79.3673
"301","21VASWCB-2-WLS025.32",37.5547,-78.2889
"302","21VASWCB-2-BVC000.83",37.7431,-78.6969
"303","21VASWCB-2-CWP050.66",38.0778,-79.6594
"304","21VASWCB-3-PEE004.46",38.1208,-76.9753
"305","21VASWCB-9-EKC000.11",36.6725,-81.0303
"306","21VASWCB-5AWKS009.11",37.1065,-77.2606
"307","21VASWCB-1BHPY002.67",38.9097,-78.186
"308","21VASWCB-2-JKS000.38",37.7883,-79.7811
"309","21VASWCB-5ALTH001.58",37.0131,-78.1247
"310","21VASWCB-6CBEV015.27",36.595,-82.1852
"311","21VASWCB-2-WLN000.36",37.8189,-79.7978
"312","21VASWCB-5ATMT006.63",37.0722,-77.8892
"313","21VASWCB-9-RIC018.90",36.8392,-80.6708
"314","21VASWCB-5AALN001.00",36.7086,-77.8286
"315","21VASWCB-2-BCC026.08",38.3051,-79.7298
"316","21VASWCB-2-TIC002.69",37.385,-77.2369
"317","21VASWCB-3-RUS003.23",38.685,-78.1467
"318","21VASWCB-6BLIB001.89",37.0561,-81.6553
"319","21VASWCB-2-JES000.80",37.5486,-79.6286
"320","21VASWCB-1BTRL000.02",38.6331,-78.8439
"321","21VASWCB-5ANTW109.02",36.9458,-77.7333
"322","21VASWCB-1APIM000.15",38.929,-77.1179
"323","21VASWCB-8-GMC002.19",38.0962,-77.9619
"324","21VASWCB-8-MPN054.17",37.8839,-77.165
"325","21VASWCB-8-POR004.13",38.1497,-77.5244
"326","21VASWCB-2-JMS157.28",37.6711,-78.0858
"327","21VASWCB-6BBCD006.66",36.9119,-82.0439
"328","21VASWCB-3-RAP045.08",38.2803,-78.1403
"329","21VASWCB-5ABSK004.32",36.9258,-77.6381
"330","21VASWCB-1APOH015.09",38.7925,-77.2736
"331","21VASWCB-5ANTW015.99",36.6525,-77.0036
"332","21VASWCB-5BMLD001.92",36.5819,-76.0757
"333","21VASWCB-1ACUB002.61",38.8211,-77.4659
"334","21VASWCB-6BMSC008.98",37.0411,-81.58
"335","21VASWCB-9-GLN000.13",36.9825,-81.2842
"336","21VASWCB-3-CAE000.25",38.6989,-77.9072
"337","21VASWCB-2-SFT004.92",37.2829,-77.4121
"338","21VASWCB-1AINI000.80",38.9825,-77.4475
"339","21VASWCB-7-XAE001.42",37.9838,-75.55
"340","21VASWCB-6AIND000.52",37.1044,-82.1622
"341","21VASWCB-2-DPC005.20",37.2839,-77.8683
"342","21VASWCB-2-CEC000.04",37.6094,-79.5431
"343","21VASWCB-4ADAN075.22",36.5417,-79.6052
"344","21VASWCB-2-RKR000.02",37.6453,-78.8383
"345","21VASWCB-2-POT007.48",37.7285,-80.0423
